task,horizon,period,feature_group,model,top_frac,hit_rate,lift
continuation,H5,validation,ALL,Naive,0.050000,0.610000,4.065650
continuation,H5,validation,ALL,Naive,0.100000,0.585000,3.899025
continuation,H5,validation,ALL,Naive,0.200000,0.521250,3.474131
continuation,H5,validation,P,Logit,0.010000,0.850000,5.665250
continuation,H5,validation,P,Logit,0.050000,0.850000,5.665250
continuation,H5,validation,P,Logit,0.100000,0.747500,4.982088
continuation,H5,validation,P,Logit,0.200000,0.572500,3.815713
continuation,H5,validation,P,LightGBM,0.010000,0.125000,0.833125
continuation,H5,validation,P,LightGBM,0.050000,0.205000,1.366325
continuation,H5,validation,P,LightGBM,0.100000,0.260000,1.732900
continuation,H5,validation,P,LightGBM,0.200000,0.363750,2.424394
continuation,H5,validation,P,SMARTBoost,0.010000,0.125000,0.833125
continuation,H5,validation,P,SMARTBoost,0.050000,0.205000,1.366325
continuation,H5,validation,P,SMARTBoost,0.100000,0.260000,1.732900
continuation,H5,validation,P,SMARTBoost,0.200000,0.363750,2.424394
continuation,H5,validation,M,Logit,0.010000,0.850000,5.665250
continuation,H5,validation,M,Logit,0.050000,0.835000,5.565275
continuation,H5,validation,M,Logit,0.100000,0.737500,4.915438
continuation,H5,validation,M,Logit,0.200000,0.565000,3.765725
continuation,H5,validation,M,LightGBM,0.010000,0.125000,0.833125
continuation,H5,validation,M,LightGBM,0.050000,0.205000,1.366325
continuation,H5,validation,M,LightGBM,0.100000,0.260000,1.732900
continuation,H5,validation,M,LightGBM,0.200000,0.363750,2.424394
continuation,H5,validation,M,SMARTBoost,0.010000,0.125000,0.833125
continuation,H5,validation,M,SMARTBoost,0.050000,0.205000,1.366325
continuation,H5,validation,M,SMARTBoost,0.100000,0.260000,1.732900
continuation,H5,validation,M,SMARTBoost,0.200000,0.363750,2.424394
continuation,H5,validation,C,Logit,0.010000,0.825000,5.498625
continuation,H5,validation,C,Logit,0.050000,0.810000,5.398650
continuation,H5,validation,C,Logit,0.100000,0.735000,4.898775
continuation,H5,validation,C,Logit,0.200000,0.548750,3.657419
continuation,H5,validation,C,LightGBM,0.010000,0.125000,0.833125
continuation,H5,validation,C,LightGBM,0.050000,0.205000,1.366325
continuation,H5,validation,C,LightGBM,0.100000,0.260000,1.732900
continuation,H5,validation,C,LightGBM,0.200000,0.363750,2.424394
continuation,H5,validation,C,SMARTBoost,0.010000,0.125000,0.833125
continuation,H5,validation,C,SMARTBoost,0.050000,0.205000,1.366325
continuation,H5,validation,C,SMARTBoost,0.100000,0.260000,1.732900
continuation,H5,validation,C,SMARTBoost,0.200000,0.363750,2.424394
continuation,H5,validation,ALL,Logit,0.010000,0.850000,5.665250
continuation,H5,validation,ALL,Logit,0.050000,0.830000,5.531950
continuation,H5,validation,ALL,Logit,0.100000,0.742500,4.948762
continuation,H5,validation,ALL,Logit,0.200000,0.555000,3.699075
continuation,H5,validation,ALL,LightGBM,0.010000,0.125000,0.833125
continuation,H5,validation,ALL,LightGBM,0.050000,0.205000,1.366325
continuation,H5,validation,ALL,LightGBM,0.100000,0.260000,1.732900
continuation,H5,validation,ALL,LightGBM,0.200000,0.363750,2.424394
continuation,H5,validation,ALL,SMARTBoost,0.010000,0.125000,0.833125
continuation,H5,validation,ALL,SMARTBoost,0.050000,0.205000,1.366325
continuation,H5,validation,ALL,SMARTBoost,0.100000,0.260000,1.732900
continuation,H5,validation,ALL,SMARTBoost,0.200000,0.363750,2.424394
continuation,H5,test,P,Naive,0.010000,0.825000,4.139492
continuation,H5,test,P,Naive,0.050000,0.855000,4.290019
continuation,H5,test,P,Naive,0.100000,0.847500,4.252387
continuation,H5,test,P,Naive,0.200000,0.722500,3.625191
continuation,H5,test,M,Naive,0.010000,0.825000,4.139492
continuation,H5,test,M,Naive,0.050000,0.855000,4.290019
continuation,H5,test,M,Naive,0.100000,0.847500,4.252387
continuation,H5,test,M,Naive,0.200000,0.722500,3.625191
continuation,H5,test,C,Naive,0.010000,0.825000,4.139492
continuation,H5,test,C,Naive,0.050000,0.855000,4.290019
continuation,H5,test,C,Naive,0.100000,0.847500,4.252387
continuation,H5,test,C,Naive,0.200000,0.722500,3.625191
continuation,H5,test,ALL,Naive,0.010000,0.825000,4.139492
continuation,H5,test,ALL,Naive,0.050000,0.855000,4.290019
continuation,H5,test,ALL,Naive,0.100000,0.847500,4.252387
continuation,H5,test,ALL,Naive,0.200000,0.722500,3.625191
continuation,H5,test,P,Logit,0.010000,0.875000,4.390370
continuation,H5,test,P,Logit,0.050000,0.935000,4.691424
continuation,H5,test,P,Logit,0.100000,0.922500,4.628705
continuation,H5,test,P,Logit,0.200000,0.781250,3.919973
continuation,H5,test,P,LightGBM,0.010000,0.075000,0.376317
continuation,H5,test,P,LightGBM,0.050000,0.200000,1.003513
continuation,H5,test,P,LightGBM,0.100000,0.245000,1.229304
continuation,H5,test,P,LightGBM,0.200000,0.340000,1.705972
continuation,H5,test,P,SMARTBoost,0.010000,0.075000,0.376317
continuation,H5,test,P,SMARTBoost,0.050000,0.200000,1.003513
continuation,H5,test,P,SMARTBoost,0.100000,0.245000,1.229304
continuation,H5,test,P,SMARTBoost,0.200000,0.340000,1.705972
continuation,H5,test,M,Logit,0.010000,0.900000,4.515809
continuation,H5,test,M,Logit,0.050000,0.940000,4.716512
continuation,H5,test,M,Logit,0.100000,0.882500,4.428002
continuation,H5,test,M,Logit,0.200000,0.742500,3.725543
continuation,H5,test,M,LightGBM,0.010000,0.075000,0.376317
continuation,H5,test,M,LightGBM,0.050000,0.200000,1.003513
continuation,H5,test,M,LightGBM,0.100000,0.245000,1.229304
continuation,H5,test,M,LightGBM,0.200000,0.340000,1.705972
continuation,H5,test,M,SMARTBoost,0.010000,0.075000,0.376317
continuation,H5,test,M,SMARTBoost,0.050000,0.200000,1.003513
continuation,H5,test,M,SMARTBoost,0.100000,0.245000,1.229304
continuation,H5,test,M,SMARTBoost,0.200000,0.340000,1.705972
continuation,H5,test,C,Logit,0.010000,0.900000,4.515809
continuation,H5,test,C,Logit,0.050000,0.935000,4.691424
continuation,H5,test,C,Logit,0.100000,0.885000,4.440546
continuation,H5,test,C,Logit,0.200000,0.750000,3.763174
continuation,H5,test,C,LightGBM,0.010000,0.075000,0.376317
continuation,H5,test,C,LightGBM,0.050000,0.200000,1.003513
continuation,H5,test,C,LightGBM,0.100000,0.245000,1.229304
continuation,H5,test,C,LightGBM,0.200000,0.340000,1.705972
continuation,H5,test,C,SMARTBoost,0.010000,0.075000,0.376317
continuation,H5,test,C,SMARTBoost,0.050000,0.200000,1.003513
continuation,H5,test,C,SMARTBoost,0.100000,0.245000,1.229304
continuation,H5,test,C,SMARTBoost,0.200000,0.340000,1.705972
continuation,H5,test,ALL,Logit,0.010000,0.875000,4.390370
continuation,H5,test,ALL,Logit,0.050000,0.960000,4.816863
continuation,H5,test,ALL,Logit,0.100000,0.917500,4.603617
continuation,H5,test,ALL,Logit,0.200000,0.742500,3.725543
continuation,H5,test,ALL,LightGBM,0.010000,0.075000,0.376317
continuation,H5,test,ALL,LightGBM,0.050000,0.200000,1.003513
continuation,H5,test,ALL,LightGBM,0.100000,0.245000,1.229304
continuation,H5,test,ALL,LightGBM,0.200000,0.340000,1.705972
continuation,H5,test,ALL,SMARTBoost,0.010000,0.075000,0.376317
continuation,H5,test,ALL,SMARTBoost,0.050000,0.200000,1.003513
continuation,H5,test,ALL,SMARTBoost,0.100000,0.245000,1.229304
continuation,H5,test,ALL,SMARTBoost,0.200000,0.340000,1.705972
continuation,H10,validation,P,Naive,0.010000,0.550000,3.410000
continuation,H10,validation,P,Naive,0.050000,0.660000,4.092000
continuation,H10,validation,P,Naive,0.100000,0.610000,3.782000
continuation,H10,validation,P,Naive,0.200000,0.541250,3.355750
continuation,H10,validation,M,Naive,0.010000,0.550000,3.410000
continuation,H10,validation,M,Naive,0.050000,0.660000,4.092000
continuation,H10,validation,M,Naive,0.100000,0.610000,3.782000
continuation,H10,validation,M,Naive,0.200000,0.541250,3.355750
continuation,H10,validation,C,Naive,0.010000,0.550000,3.410000
continuation,H10,validation,C,Naive,0.050000,0.660000,4.092000
continuation,H10,validation,C,Naive,0.100000,0.610000,3.782000
continuation,H10,validation,C,Naive,0.200000,0.541250,3.355750
continuation,H10,validation,ALL,Naive,0.010000,0.550000,3.410000
continuation,H10,validation,ALL,Naive,0.050000,0.660000,4.092000
continuation,H10,validation,ALL,Naive,0.100000,0.610000,3.782000
continuation,H10,validation,ALL,Naive,0.200000,0.541250,3.355750
continuation,H10,validation,P,Logit,0.010000,0.725000,4.495000
continuation,H10,validation,P,Logit,0.050000,0.810000,5.022000
continuation,H10,validation,P,Logit,0.100000,0.725000,4.495000
continuation,H10,validation,P,Logit,0.200000,0.565000,3.503000
continuation,H10,validation,P,LightGBM,0.010000,0.025000,0.155000
continuation,H10,validation,P,LightGBM,0.050000,0.220000,1.364000
continuation,H10,validation,P,LightGBM,0.100000,0.267500,1.658500
continuation,H10,validation,P,LightGBM,0.200000,0.381250,2.363750
continuation,H10,validation,P,SMARTBoost,0.010000,0.025000,0.155000
continuation,H10,validation,P,SMARTBoost,0.050000,0.220000,1.364000
continuation,H10,validation,P,SMARTBoost,0.100000,0.267500,1.658500
continuation,H10,validation,P,SMARTBoost,0.200000,0.381250,2.363750
continuation,H10,validation,M,Logit,0.010000,0.725000,4.495000
continuation,H10,validation,M,Logit,0.050000,0.740000,4.588000
continuation,H10,validation,M,Logit,0.100000,0.657500,4.076500
continuation,H10,validation,M,Logit,0.200000,0.523750,3.247250
continuation,H10,validation,M,LightGBM,0.010000,0.025000,0.155000
continuation,H10,validation,M,LightGBM,0.050000,0.220000,1.364000
continuation,H10,validation,M,LightGBM,0.100000,0.267500,1.658500
continuation,H10,validation,M,LightGBM,0.200000,0.381250,2.363750
continuation,H10,validation,M,SMARTBoost,0.010000,0.025000,0.155000
continuation,H10,validation,M,SMARTBoost,0.050000,0.220000,1.364000
continuation,H10,validation,M,SMARTBoost,0.100000,0.267500,1.658500
continuation,H10,validation,M,SMARTBoost,0.200000,0.381250,2.363750
continuation,H10,validation,C,Logit,0.010000,0.725000,4.495000
continuation,H10,validation,C,Logit,0.050000,0.735000,4.557000
continuation,H10,validation,C,Logit,0.100000,0.650000,4.030000
continuation,H10,validation,C,Logit,0.200000,0.516250,3.200750
continuation,H10,validation,C,LightGBM,0.010000,0.025000,0.155000
continuation,H10,validation,C,LightGBM,0.050000,0.220000,1.364000
continuation,H10,validation,C,LightGBM,0.100000,0.267500,1.658500
continuation,H10,validation,C,LightGBM,0.200000,0.381250,2.363750
continuation,H10,validation,C,SMARTBoost,0.010000,0.025000,0.155000
continuation,H10,validation,C,SMARTBoost,0.050000,0.220000,1.364000
continuation,H10,validation,C,SMARTBoost,0.100000,0.267500,1.658500
continuation,H10,validation,C,SMARTBoost,0.200000,0.381250,2.363750
continuation,H10,validation,ALL,Logit,0.010000,0.675000,4.185000
continuation,H10,validation,ALL,Logit,0.050000,0.690000,4.278000
continuation,H10,validation,ALL,Logit,0.100000,0.632500,3.921500
continuation,H10,validation,ALL,Logit,0.200000,0.505000,3.131000
continuation,H10,validation,ALL,LightGBM,0.010000,0.025000,0.155000
continuation,H10,validation,ALL,LightGBM,0.050000,0.220000,1.364000
continuation,H10,validation,ALL,LightGBM,0.100000,0.267500,1.658500
continuation,H10,validation,ALL,LightGBM,0.200000,0.381250,2.363750
continuation,H10,validation,ALL,SMARTBoost,0.010000,0.025000,0.155000
continuation,H10,validation,ALL,SMARTBoost,0.050000,0.220000,1.364000
continuation,H10,validation,ALL,SMARTBoost,0.100000,0.267500,1.658500
continuation,H10,validation,ALL,SMARTBoost,0.200000,0.381250,2.363750
continuation,H10,test,P,Naive,0.010000,0.750000,3.596223
continuation,H10,test,P,Naive,0.050000,0.865000,4.147644
continuation,H10,test,P,Naive,0.100000,0.860000,4.123669
continuation,H10,test,P,Naive,0.200000,0.741250,3.554267
continuation,H10,test,M,Naive,0.010000,0.750000,3.596223
continuation,H10,test,M,Naive,0.050000,0.865000,4.147644
continuation,H10,test,M,Naive,0.100000,0.860000,4.123669
continuation,H10,test,M,Naive,0.200000,0.741250,3.554267
continuation,H10,test,C,Naive,0.010000,0.750000,3.596223
continuation,H10,test,C,Naive,0.050000,0.865000,4.147644
continuation,H10,test,C,Naive,0.100000,0.860000,4.123669
continuation,H10,test,C,Naive,0.200000,0.741250,3.554267
continuation,H10,test,ALL,Naive,0.010000,0.750000,3.596223
continuation,H10,test,ALL,Naive,0.050000,0.865000,4.147644
continuation,H10,test,ALL,Naive,0.100000,0.860000,4.123669
continuation,H10,test,ALL,Naive,0.200000,0.741250,3.554267
continuation,H10,test,P,Logit,0.010000,0.900000,4.315468
continuation,H10,test,P,Logit,0.050000,0.940000,4.507266
continuation,H10,test,P,Logit,0.100000,0.907500,4.351430
continuation,H10,test,P,Logit,0.200000,0.782500,3.752059
continuation,H10,test,P,LightGBM,0.010000,0.050000,0.239748
continuation,H10,test,P,LightGBM,0.050000,0.205000,0.982968
continuation,H10,test,P,LightGBM,0.100000,0.272500,1.306628
continuation,H10,test,P,LightGBM,0.200000,0.365000,1.750162
continuation,H10,test,P,SMARTBoost,0.010000,0.050000,0.239748
continuation,H10,test,P,SMARTBoost,0.050000,0.205000,0.982968
continuation,H10,test,P,SMARTBoost,0.100000,0.272500,1.306628
continuation,H10,test,P,SMARTBoost,0.200000,0.365000,1.750162
continuation,H10,test,M,Logit,0.010000,0.900000,4.315468
continuation,H10,test,M,Logit,0.050000,0.915000,4.387392
continuation,H10,test,M,Logit,0.100000,0.902500,4.327455
continuation,H10,test,M,Logit,0.200000,0.762500,3.656160
continuation,H10,test,M,LightGBM,0.010000,0.050000,0.239748
continuation,H10,test,M,LightGBM,0.050000,0.205000,0.982968
continuation,H10,test,M,LightGBM,0.100000,0.272500,1.306628
continuation,H10,test,M,LightGBM,0.200000,0.365000,1.750162
continuation,H10,test,M,SMARTBoost,0.010000,0.050000,0.239748
continuation,H10,test,M,SMARTBoost,0.050000,0.205000,0.982968
continuation,H10,test,M,SMARTBoost,0.100000,0.272500,1.306628
continuation,H10,test,M,SMARTBoost,0.200000,0.365000,1.750162
continuation,H10,test,C,Logit,0.010000,0.900000,4.315468
continuation,H10,test,C,Logit,0.050000,0.915000,4.387392
continuation,H10,test,C,Logit,0.100000,0.895000,4.291493
continuation,H10,test,C,Logit,0.200000,0.751250,3.602217
continuation,H10,test,C,LightGBM,0.010000,0.050000,0.239748
continuation,H10,test,C,LightGBM,0.050000,0.205000,0.982968
continuation,H10,test,C,LightGBM,0.100000,0.272500,1.306628
continuation,H10,test,C,LightGBM,0.200000,0.365000,1.750162
continuation,H10,test,C,SMARTBoost,0.010000,0.050000,0.239748
continuation,H10,test,C,SMARTBoost,0.050000,0.205000,0.982968
continuation,H10,test,C,SMARTBoost,0.100000,0.272500,1.306628
continuation,H10,test,C,SMARTBoost,0.200000,0.365000,1.750162
continuation,H10,test,ALL,Logit,0.010000,0.900000,4.315468
continuation,H10,test,ALL,Logit,0.050000,0.905000,4.339442
continuation,H10,test,ALL,Logit,0.100000,0.872500,4.183606
continuation,H10,test,ALL,Logit,0.200000,0.728750,3.494330
continuation,H10,test,ALL,LightGBM,0.010000,0.050000,0.239748
continuation,H10,test,ALL,LightGBM,0.050000,0.205000,0.982968
continuation,H10,test,ALL,LightGBM,0.100000,0.272500,1.306628
continuation,H10,test,ALL,LightGBM,0.200000,0.365000,1.750162
continuation,H10,test,ALL,SMARTBoost,0.010000,0.050000,0.239748
continuation,H10,test,ALL,SMARTBoost,0.050000,0.205000,0.982968
continuation,H10,test,ALL,SMARTBoost,0.100000,0.272500,1.306628
continuation,H10,test,ALL,SMARTBoost,0.200000,0.365000,1.750162
