quantile,shock_size,scenario,scenario_cn,horizon,MarketLSI_response,notes
0.5,1.5,market_crash,市场急跌,1,-0.01048771707833505,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,market_crash,市场急跌,5,-0.006583092146190739,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,market_crash,市场急跌,10,-0.0032734177691542306,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,market_crash,市场急跌,20,-0.0008419711510337761,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,volatility_spike,波动放大,1,-0.0155873691488892,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,volatility_spike,波动放大,5,-0.058546063224597794,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,volatility_spike,波动放大,10,-0.0805240377776516,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,volatility_spike,波动放大,20,-0.08145236213262239,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,liquidity_contraction,成交收缩/流动性压力,1,0.0015959398291575002,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,liquidity_contraction,成交收缩/流动性压力,5,0.0057752721543216055,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,liquidity_contraction,成交收缩/流动性压力,10,0.009054992475010114,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,liquidity_contraction,成交收缩/流动性压力,20,0.012417710226740436,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,composite_pressure,复合压力,1,-0.02447914639806675,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,composite_pressure,复合压力,5,-0.059353883216466924,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,composite_pressure,复合压力,10,-0.07474246307179569,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,1.5,composite_pressure,复合压力,20,-0.06987662305691572,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,market_crash,市场急跌,1,-0.0139836227711134,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,market_crash,市场急跌,5,-0.008777456194920982,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,market_crash,市场急跌,10,-0.004364557025538972,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,market_crash,市场急跌,20,-0.0011226282013783694,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,volatility_spike,波动放大,1,-0.0207831588651856,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,volatility_spike,波动放大,5,-0.07806141763279706,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,volatility_spike,波动放大,10,-0.1073653837035354,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,volatility_spike,波动放大,20,-0.10860314951016309,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,liquidity_contraction,成交收缩/流动性压力,1,0.00212791977221,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,liquidity_contraction,成交收缩/流动性压力,5,0.00770036287242881,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,liquidity_contraction,成交收缩/流动性压力,10,0.012073323300013485,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,liquidity_contraction,成交收缩/流动性压力,20,0.01655694696898725,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,composite_pressure,复合压力,1,-0.032638861864088986,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,composite_pressure,复合压力,5,-0.07913851095528922,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,composite_pressure,复合压力,10,-0.09965661742906093,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.0,composite_pressure,复合压力,20,-0.09316883074255428,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,market_crash,市场急跌,1,-0.01747952846389175,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,market_crash,市场急跌,5,-0.010971820243651231,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,market_crash,市场急跌,10,-0.0054556962819237165,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,market_crash,市场急跌,20,-0.0014032852517229626,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,volatility_spike,波动放大,1,-0.025978948581482,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,volatility_spike,波动放大,5,-0.09757677204099634,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,volatility_spike,波动放大,10,-0.13420672962941926,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,volatility_spike,波动放大,20,-0.13575393688770396,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,liquidity_contraction,成交收缩/流动性压力,1,0.0026598997152625,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,liquidity_contraction,成交收缩/流动性压力,5,0.009625453590536013,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,liquidity_contraction,成交收缩/流动性压力,10,0.015091654125016857,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,liquidity_contraction,成交收缩/流动性压力,20,0.020696183711234065,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,composite_pressure,复合压力,1,-0.040798577330111246,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,composite_pressure,复合压力,5,-0.09892313869411155,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,composite_pressure,复合压力,10,-0.12457077178632611,QVAR 情景冲击模拟，不表示严格因果识别。
0.5,2.5,composite_pressure,复合压力,20,-0.11646103842819289,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,market_crash,市场急跌,1,-0.011891555893587896,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,market_crash,市场急跌,5,-0.005895550637199154,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,market_crash,市场急跌,10,-0.00015829932303290661,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,market_crash,市场急跌,20,0.0012549467435860606,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,volatility_spike,波动放大,1,-0.04312441465379985,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,volatility_spike,波动放大,5,-0.45871925605986563,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,volatility_spike,波动放大,10,-1.5070849506161887,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,volatility_spike,波动放大,20,-4.932870769601544,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,liquidity_contraction,成交收缩/流动性压力,1,-0.04372180610416079,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,liquidity_contraction,成交收缩/流动性压力,5,-0.19714834812625748,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,liquidity_contraction,成交收缩/流动性压力,10,-0.1989060843013042,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,liquidity_contraction,成交收缩/流动性压力,20,0.9399841171442116,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,composite_pressure,复合压力,1,-0.09873777665154854,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,composite_pressure,复合压力,5,-0.6617631548233225,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,composite_pressure,复合压力,10,-1.7061493342405272,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,composite_pressure,复合压力,20,-3.9916317057137505,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,market_crash,市场急跌,1,-0.015855407858117204,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,market_crash,市场急跌,5,-0.007860734182932427,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,market_crash,市场急跌,10,-0.00021106576404417154,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,market_crash,市场急跌,20,0.0016732623247737166,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,volatility_spike,波动放大,1,-0.057499219538399815,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,volatility_spike,波动放大,5,-0.6116256747464874,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,volatility_spike,波动放大,10,-2.0094466008215845,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,volatility_spike,波动放大,20,-6.577161026135387,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,liquidity_contraction,成交收缩/流动性压力,1,-0.05829574147221439,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,liquidity_contraction,成交收缩/流动性压力,5,-0.2628644641683435,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,liquidity_contraction,成交收缩/流动性压力,10,-0.2652081124017398,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,liquidity_contraction,成交收缩/流动性压力,20,1.253312156192278,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,composite_pressure,复合压力,1,-0.1316503688687314,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,composite_pressure,复合压力,5,-0.8823508730977636,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,composite_pressure,复合压力,10,-2.27486577898737,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,composite_pressure,复合压力,20,-5.322175607618332,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,market_crash,市场急跌,1,-0.019819259822646512,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,market_crash,市场急跌,5,-0.009825917728665479,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,market_crash,市场急跌,10,-0.0002638322050554365,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,market_crash,市场急跌,20,0.0020915779059667017,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,volatility_spike,波动放大,1,-0.07187402442299975,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,volatility_spike,波动放大,5,-0.7645320934331097,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,volatility_spike,波动放大,10,-2.511808251026982,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,volatility_spike,波动放大,20,-8.22145128266924,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,liquidity_contraction,成交收缩/流动性压力,1,-0.07286967684026802,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,liquidity_contraction,成交收缩/流动性压力,5,-0.32858058021042935,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,liquidity_contraction,成交收缩/流动性压力,10,-0.33151014050217453,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,liquidity_contraction,成交收缩/流动性压力,20,1.566640195240355,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,composite_pressure,复合压力,1,-0.16456296108591426,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,composite_pressure,复合压力,5,-1.1029385913722045,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,composite_pressure,复合压力,10,-2.843582223734211,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,composite_pressure,复合压力,20,-6.652719509522912,QVAR 情景冲击模拟，不表示严格因果识别。
